price,artist,source_artwork
44798.73828125,Paul Sandby,"A View of Bethlem the Great Moravian Settlement in the province of Pennsylvania from Scenographia Americana, 1768"
18706.048828125,David The Younger Teniers,A View of Het Sterckshof near Antwerp c. 1646
19487.53125,William (Turner of Oxford) Turner,A View of Oxford
392156.1875,Ulpiano Checa y Sanz,A View of the Place de la Concorde
866.4927978515625,David The Younger Teniers,"A Village Scene With Four Peasants Playing Bowls Before A Tavern, Two Cottages Beyond"
8153.94482421875,Winslow Homer,A Visit from the Old Mistress
630.1513671875,Pierre Auguste Renoir,A Walk In The Woods Aka Madame Lecoeur And Her Children
148375.171875,John Constable,A Water Mill
88044.796875,George Stubbs,"A Water Spaniel, 1769"
105498.6953125,John Singer Sargent,A Waterfall
30562.58203125,Paul Sandby,"A Welsh Sunset River Landscape, c.1775-1800"
113120.2421875,George Wesley Bellows,A Wild Place
15589.48828125,Jean-Francois Millet,"A Winnower, 1866-68"
107421.390625,Childe Hassam,A Winter Day on Brooklyn Bridge
8137.60791015625,Charles Henri Leickert,A Winter Landscape With Figures On The Ice 4
12754.5927734375,Charles Henri Leickert,A Winter Landscape With Figures On The Ice 6
582977.9375,Alphonse Maria Mucha,A Winter Tale
2167.6044921875,Joseph Farquharson,A Winters Morning
4167.9130859375,Jan Vermeer Van Delft,A Woman Asleep at Table (detail-3) c. 1657
375056.90625,August Macke,A Woman In Green Jacket
256356.109375,Claude Oscar Monet,A Woman Reading
34042900.0,Berthe Morisot,A Woman at her Toilette
6187.10546875,Marianne Preindelsberger Stokes,A Young Slovak
482015.0,August Macke,A Zoological Garden
489008.84375,Charles Henri Leickert,A cappricio view of Utrecht
13029650.0,Horatio Henry Couldery,A captured audience
79440.8671875,Paul-Gustave Fischer,"A city square, Copenhagen"
1060601.5,Arthur Heyer,A family of cats at play
21179.81640625,John Frederick Herring Snr,A farmyard in Spring
3931.537353515625,Horatio Henry Couldery,A fascinating tail
3931.537353515625,Jean-Baptiste-Camille Corot,A female nude in a rocky landscape
1322833.25,Arthur Heyer,A fox with cubs
420160.84375,Melchior de Hondecoeter,A hen with chicks a rooster and pigeons in a landscape
90946.5234375,George Stubbs,A horse frightened by a lion
1104755.375,Robert Frederick Blum,A lady with a parasol
15587907.0,John Frederick Herring Snr,A lop-eared doe rabbit with her young
83017.9296875,Fernando Botero,A man and a woman 1989
5562.16162109375,Axel Birkhammer,A man rowing in an extensive lake landscape
14625.4296875,Ivan Konstantinovich Aivazovsky,A moonlit sail
3931.537353515625,(after) William Etty,A nude reclining in a landscape
3931.537353515625,Arthur von Ferraris,A nymph lying in a wooded river landscape
59701.60546875,Melchior de Hondecoeter,A peacock peahen and other exotic birds and poultry on a Terrace
14143.9892578125,(after) Pietro Antonio Rotari,"A portrait of a young girl, head and shoulders, sleeping in a chair"
17674.119140625,Horatio Henry Couldery,A pug
3931.537353515625,Frans Mortelmans,"A pumpkin, peaches, and grapes in a china bowl by glasses on a draped table"
21123.80078125,William (Turner of Oxford) Turner,A shepherd herding sheep on a track in a Welsh valley
15223.015625,Oene Romkes De Jongh,A snow covered street
34987.015625,Alfred Morgan,A spray of wildflowers on a bank
197362.34375,Frans Mortelmans,A still life with peaches
49793.8671875,Axel Birkhammer,A sunlit landscape
49371.13671875,Charles Henri Leickert,A tavern in a German landscape
2816.165283203125,Arthur Heyer,A tempting delicacy
6712.44189453125,Jean-Baptiste-Camille Corot,A thinking girl
5534.96875,Oene Romkes De Jongh,A townview in winter with figures conversing
4189.04931640625,Charles Henri Leickert,A townview in winter with figures on a frozen canal
199259.828125,Canaletto,"A view of Piazza Navona, Rome"
6556.79150390625,Charles Henri Leickert,A view of a town with figures by a drawbridge
744018.5,Arthur Heyer,A white Persian cat look at a butterfly
722979.8125,Arthur Heyer,A white cat
7246.30908203125,Mary Cassatt,"A woman and child in the driving seat, 1881"
781325.0625,(after) Pietro Antonio Rotari,"A woman sewing by a table, a child playing with a doll nearby"
1784.9691162109375,(after) Harmenszoon Van Rijn Rembrandt,A young girl at a window
109523.6875,Alfred Sisley,Abandoned Cottage
3931.537353515625,Paul Gauguin,Abandoned Garden Rouen
9330.2490234375,Caspar David Friedrich,Abbey in the Oakwood
3931.537353515625,Albrecht Durer,Abduction Of A Woman (Rape Of The Sabine Women)
390.98822021484375,Albrecht Durer,Abduction Of Proserpine On A Unicorn
1169532.375,Angelica Kauffmann,Abelard soliciting the hand of Heloise
199319.671875,Caspar David Friedrich,Abend
101419.0859375,Rembrandt Van Rijn,Abraham Entertaining the Angels
10839.3095703125,Michelangelo Buonarroti,Achim - Eliud (detail-2) 1511-12
50112.6171875,Michelangelo Buonarroti,Achim - Eliud 1511-12
3931.537353515625,Nicolas Poussin,Acis and Galatea c. 1630
63833.9921875,Gustav Klimt,Acqua Mossa
3931.537353515625,Albrecht Durer,Adam And Eve
3931.537353515625,Fernando Botero,Adam and Eve
3931.537353515625,Tiziano Vecellio,Adam and Eve
3931.537353515625,Tamara de Lempicka,"Adam and Eve, 1932"
138162.71875,Henri De Toulouse-Lautrec,Admiral Viaud
288387.03125,Caspar David Friedrich,Adolf Gottlieb Friedrich Reading 1802
85519.0078125,(after) Harmenszoon Van Rijn Rembrandt,Adoration Of The Magi
127032.9921875,Albrecht Durer,Adoration Of The Magi
829434.1875,Sandro Botticelli,Adoration of the Child c. 1495
394436.625,Correggio (Antonio Allegri),Adoration of the Christ Child
152427.078125,Nicolas Poussin,Adoration of the Golden Calf
56255324.0,Jan Van Eyck,Adoration of the Lamb
5800927.0,Sandro Botticelli,Adoration of the Magi (Adorazione dei Magi)
83138880.0,Sandro Botticelli,Adoration of the Magi c. 1475
10368.0361328125,Rembrandt Van Rijn,Adoration of the Shepherds 1646
3527752192.0,Bartolome Esteban Murillo,Adoration of the Shepherds 1650-55
128613608.0,Eugene Delacroix,African Pirates Abducting a Young Woman
3931.537353515625,Pierre Auguste Renoir,After Bathing (nude Study)
3931.537353515625,Pierre Auguste Renoir,After Bathing Seated Female Nude
3931.537353515625,Pierre Auguste Renoir,After Bathing
8881.79296875,Winslow Homer,After the Hurricane
1397090.375,Edouard   Vuillard,After the Meal. c. 1900
6564.69970703125,George Inness,Afternoon 1846
5208200.5,Paul Cezanne,Afternoon In Naples With A Black Servant
43439.26953125,Joaquin Sorolla y Bastida,"Afternoon Sun, Playa de Valencia"
24945.740234375,Mary Cassatt,Afternoon Tea Party
152883.625,William Merritt Chase,Afternoon by the Sea aka Gravesend Bay
33090.78125,Paul Signac,"Against the Enamel of Background Rhythmic with Beats and Angels, Tones and Tones and Colours, and a Portrait of Felix Feneon (1861-1944) 1890"
105349.8984375,Childe Hassam,Against the Light
2248147.5,Armand Guillaumin,Agay At Cap Long
5111748.5,Armand Guillaumin,Agay The Red Rocks
3931.537353515625,Auguste Rodin,Age of Bronze
88321.4765625,Odilon Redon,Aged Angel
